word,timing,projector
,,"{""Fst"": 1, ""Gxy"": 1, ""St1"": 1, ""St2"": 1}"
白鳥座のデネブ,post,"{""Cyg"": 1}"
わし座のアルタイル,post,"{""Aql"": 1}"
琴座のベガ,post,"{""Lyr"": 1}"
琴座の神話をご紹介しましょう,post,"{""Cyg"": 0, ""Aql"": 0}"
さて、いつの間にか時が進み,post,"{""Lyr"": 0}"
これがオリオン座です,post,"{""Ori"": 1}"
これがふたご座です,post,"{""Ori"": 0, ""Gem"": 1}"
そういえば、夏と違って,post,"{""Gem"": 0}"
先ほどはオリオン座の,post,"{""Ori"": 1}"
ふたご座の〜,post,"{""Gem"": 1}"
シリウスはおおいぬ座の一部です。,post,"{""CMa"": 1}"
こいぬ座の一部となっています,post,"{""CMi"": 1}"
五角形の形をした星座をぎょしゃ座〜,post,"{""Aur"": 1}"
おうし座の一等星です,post,"{""Tau"": 1}"
こんなにきれいで大きい宝石が隠れていたんです,post,"{""Ori"": 0, ""CMa"": 0, ""CMi"": 0, ""Gem"": 0, ""Aur"": 0, ""Tau"": 0}"
