word,timing,projector
,,"{""Gxy"": 1}"
さあ話している間に,post,"{""Fst"": 1}"
3、2、1,post,"{""St1"": 1, ""St2"": 1}"
星座絵をつけてみましょうか,post,"{""Peg"": 1}"
見つかりましたよ。これが秋の空でただひとつの,post,"{""Peg"": 0}"
星座絵をつけてみましょうか,post,"{""Aqr"": 1}"
次の星座探しに移りましょう。,post,"{""Aqr"": 0}"
カシオペア座と共に、ふたつの星座絵をつけてみましょうか。,post,"{""Cas"": 1, ""Cep"": 1}"
では、そのアンドロメダ座も見つけてみましょうか。,post,"{""Cas"": 0, ""Cep"": 0}"
星座絵をつけてみましょう,post,"{""And"": 1}"
その前に、神話の中で重要な役割を果たす…,post,"{""And"": 0, ""Peg"": 1}"
早速星座絵をつけてみましょうか。,post,"{""Peg"": 0, ""Cet"": 1}"
実は、秋の星座には、,post,"{""Cet"": 0}"
星座絵をつけてみましょう,post,"{""Per"": 1}"
では、星座を見つけるのはここまでにして…,post,"{""Per"": 0}"
どの星が変光星か説明する前に、この星座の位置を確認しましょうか。,言い終わった後,"{""And"": 1}"
少し明るい星にぶつかりますね,言い終わった後,"{""And"": 0}"
ケフェウスという名の王様がいて、,post,"{""Cep"": 1}"
そのお妃であるカシオペア王妃は、,post,"{""Cas"": 1}"
自分の娘であるアンドロメダの美しさを自慢していました。,post,"{""And"": 1}"
凶暴な怪物である巨大な化けくじらを,post,"{""Cet"": 1}"
このお話はこのあとがとても素敵ですよね。,post,"{""Cas"": 0, ""Cep"": 0}"
化けくじらの餌食になろうかというそのとき,post,"{""Peg"": 1}"
勇者ペルセウスが現れました,post,"{""Per"": 1}"
海に沈んでいきました,post,"{""Cet"": 0}"
何度聞いてもロマンチックなハッピーエンドですね,post,"{""And"": 0, ""Peg"": 0, ""Per"": 0}"
もう一度現れてもらいましょう。,post,"{""Cas"": 1, ""Cep"": 1, ""And"": 1, ""Per"": 1}"
輝きは派手ではないけれど,post,"{""Cas"": 0, ""Cep"": 0, ""And"": 0, ""Per"": 0}"
