word,timing,projector
,,"{""Gxy"": 1}"
さとる４「いや、ぼくも気になるから、過去の世界。例えば、ここから見える景色とかな」,post,"{""Fst"": 1}"
（ガチャ）,（ガチャ）と同時,"{""St1"": 1, ""St2"": 1}"
ゆき５「オリオンって？」,post,"{""Ori"": 1}"
ゆき６「へええ。すごい人だったのね」,post,"{""Ori"": 0}"
さとる２５「この星は、おおいぬ座のシリウス。」,「おおいぬ座」と同時,"{""CMa"": 1}"
さとる２６「シリウスの左上にも、明るい星があるのが見える？あれはこいぬ座のプロキオンっていう星なんだ。<続く>」,「こいぬ座」と同時,"{""CMi"": 1}"
おおいぬ座のシリウス、こいぬ座のプロキオン、それからオリオン座の赤い星、ベテルギウスを結ぶと…」からさとる２７まで,「オリオン座」と同時,"{""Ori"": 1}"
ゆき１１「そうなんだ！とっても面白い！」,post,"{""Ori"": 0, ""CMa"": 0, ""CMi"": 0}"
さとる２９「さっきの三ツ星を、今度は右上にたどっていくと…赤っぽい星があるんだけど、見つけられる？これがおうし座のアルデバランっていう星なんだ。これをさらに伸ばしていくと…」,「おうし座」と同時,"{""Tau"": 1}"
さとる３４「これがぎょしゃ座。この中で一番明るい星をカペラっていうんだ」,「ぎょしゃ座」と同時,"{""Tau"": 0, ""Aur"": 1}"
けんた３７「カペラの西側だから…これか！」,post,"{""Aur"": 0}"
さとる３６「これは、ふたご座の中の星で、明るい方がポルックス、もう一方がカストルっていう星だ。ふたご座は、仲良く並んだ双子の姿が描かれた星座なんだよ」,post,"{""Gem"":1}"
ゆき２０「よかった！二人は今でも星空の中で一緒にいられるのね」,post,"{""Gem"":0}"
けんた４２「ん？えーと？ふたご座のポルックス、ぎょしゃ座のカペラ、うーん…後は…」さとる４２「おうし座のアルデバラン、オリオン座のリゲル、あとは冬の大三角にも入ってた、おおいぬ座のシリウス、こいぬ座のプロキオン、ですよね」,「ポルックス」,"{""Gem"": 1}"
けんた４２「ん？えーと？ふたご座のポルックス、ぎょしゃ座のカペラ、うーん…後は…」さとる４２「おうし座のアルデバラン、オリオン座のリゲル、あとは冬の大三角にも入ってた、おおいぬ座のシリウス、こいぬ座のプロキオン、ですよね」,「カペラ」,"{""Aur"": 1}"
けんた４２「ん？えーと？ふたご座のポルックス、ぎょしゃ座のカペラ、うーん…後は…」さとる４２「おうし座のアルデバラン、オリオン座のリゲル、あとは冬の大三角にも入ってた、おおいぬ座のシリウス、こいぬ座のプロキオン、ですよね」,「アルデバラン」,"{""Tau"": 1}"
けんた４２「ん？えーと？ふたご座のポルックス、ぎょしゃ座のカペラ、うーん…後は…」さとる４２「おうし座のアルデバラン、オリオン座のリゲル、あとは冬の大三角にも入ってた、おおいぬ座のシリウス、こいぬ座のプロキオン、ですよね」,「リゲル」,"{""Ori"": 1}"
けんた４２「ん？えーと？ふたご座のポルックス、ぎょしゃ座のカペラ、うーん…後は…」さとる４２「おうし座のアルデバラン、オリオン座のリゲル、あとは冬の大三角にも入ってた、おおいぬ座のシリウス、こいぬ座のプロキオン、ですよね」,「シリウス」,"{""CMa"": 1}"
けんた４２「ん？えーと？ふたご座のポルックス、ぎょしゃ座のカペラ、うーん…後は…」さとる４２「おうし座のアルデバラン、オリオン座のリゲル、あとは冬の大三角にも入ってた、おおいぬ座のシリウス、こいぬ座のプロキオン、ですよね」,「プロキオン」,"{""CMi"": 1}"
ゆき２２「しかもきらきら光る星でできているなんて、素敵ね！」、じろう１「ゆき！」,post,"{""Gem"": 0, ""Aur"": 0, ""Tau"": 0, ""Ori"": 0, ""CMa"": 0, ""CMi"": 0}"
あかね３１「あらそう？」,post,"{""Lyr"": 1}"
あかね３６「そうよ（笑）彦星は、」（星座絵）,「わし座」のタイミング,"{""Aql"": 1}"
「表されているわ」,post,"{""Lyr"": 0, ""Aql"": 0}"
あかね３８「私たちは、白鳥が翼を広げた姿を想像して、」（星座絵）。「はくちょう座って呼んでいるの。」「ベガとアルタイルの間にある、白鳥の頭にあたるのがアルビレオっていう星、そして、尾にあたる明るい星が“尻尾”っていう意味の名前の星、デネブよ」（レーザー）,「はくちょう座」,"{""Cyg"": 1}"
あかね３９「はくちょう座のデネブと、さっきの織姫と彦星、つまり、」「こと座のベガ」・「わし座のアルタイル」,「こと座」と同時,"{""Lyr"": 1}"
あかね３９「はくちょう座のデネブと、さっきの織姫と彦星、つまり、」「こと座のベガ」・「わし座のアルタイル」,「わし座」と同時,"{""Aql"": 1}"
さとる５０「たとえば…さそり座ですか」,post,"{""Lyr"": 0, ""Aql"": 0, ""Cyg"": 0}"
あかね４４「この星はさそりの心臓の部分よ。さそり座は、そのちょっと上から星をつなげるの。」「体がくねくね曲がったさそり、想像できるかしら？」,「体がくねくね曲がった〜」のタイミング,"{""Sco"": 1}"
けんた５７「わかった、これがさそり座か！」,post,"{""Sco"": 0}"
