word,timing,projector
,,"{""Fst"": 1, ""Gxy"": 1, ""St1"": 1, ""St2"" : 1}"
「ご本人に登場してもらいましょう」,post,"{""Ari"": 1}"
「船の冒険の話も面白くて」,post,"{""Tau"": 1}"
「次の牡羊座に移ろうか」,post,"{""Ari"": 0}"
「ごちゃごちゃ星は初耳だな」,post,"{""Tau"": 0}"
「ふたご座には一等星の〜」,post,"{""Gem"": 1}"
「話をしていたところだよ」,post,"{""Gem"": 0}"
「突然ですがここで〜」,post,"{""Cnc"": 1}"
「実在する星雲なんですよ」,post,"{""Cnc"": 0}"
「だからもう一問追加ね」,post,"{""Leo"": 1}"
「知ってる、獅子の頭のあたり」の所で,post,"{""Leo"": 0}"
「次は名前がかわいいおとめ座だよ」,post,"{""Vir"": 1}"
「乙女のイメージとだいぶ違うね」,post,"{""Vir"": 0}"
「何かを測っているの」「そうだよ」,post,"{""Lib"": 1}"
「少しずつ変化しているんだよ」,post,"{""Lib"": 0}"
「あ、あった！あれだね」,post,"{""Sco"": 1}"
「お次のお誕生日の星座の射手座だよ」,post,"{""Sgr"": 1}"
「なるほど、これで安心だね」,post,"{""Sco"": 0, ""Sgr"": 0}"
「トレードマークのやぎ座です」,post,"{""Cap"": 1}"
「夜空を回っているんだよ」,post,"{""Cap"": 0}"
「昔、太陽が〜」,post,"{""Aqr"": 1}"
「次のうお座も水に関する星座だね」,post,"{""Aqr"": 0}"
「星座絵に出てきてもらおうか」,post,"{""Psc"": 1}"
「紐でつながれていたんだね」,できる範囲で「「全点灯」」,
「ありがとうございました」,「「全消灯」」,
