word,timing,projector
,,"{""Fst"": 1, ""Gxy"": 1, ""St1"": 1, ""St2"": 1}"
経澤「三ツ星の上側の２つの星から星を結んで腕を伸ばしたのがオリオン座です。」,post,"{""Ori"": 1}"
経澤「はい。星の名前の由来まで考えると、奥深くておもしろいですよね。,post,"{""Ori"": 0}"
経澤「これが、ぎょしゃ座です。」,post,"{""Aur"": 1}"
青木「へぇー、すぐにでも観測に行きたいです！」,post,"{""Aur"": 0}"
青木「はい！まずは、南の空の明るい星、シリウス」,「シリウス」と同時,"{""CMa"": 1}"
青木「ここから時計回りに、まずはプロキオン」,「プロキオン」と同時,"{""CMi"": 1}"
青木「次に、ポルックス」,「ポルックス」と同時,"{""Gem"": 1}"
青木「天頂のカペラ、あ、これはぎょしゃ座、でしたね」,「カペラ」と同時,"{""Aur"": 1}"
経澤「はい。そして、アルデバラン、これはおうし座の星。<続く>」,「アルデバラン」と同時,"{""Tau"": 1}"
経澤「最後に、オリオン座の星の、リゲルです」,「リゲル」と同時,"{""Ori"": 1}"
青木「あ、そろそろ朝が近づいてきたようです。」,post,"{""CMa"": 0, ""CMi"": 0, ""Gem"": 0, ""Aur"": 0, ""Tau"": 0, ""Ori"": 0}"
