word,timing,projector
,,"{""Fst"": 1, ""Gxy"": 1}"
ななこ6「5・4・3・2・1」,post,"{""St1"": 1, ""St2"": 1}"
母9「〜ななこは初めて聞く名前よね。」,post,"{""Cas"": 1}"
母10「〜他にも王様や王女さまもいるのよ。」,post,"{""Cas"": 0}"
ななこ20「〜あれがさそり座か〜」,post,"{""Sco"": 1}"
母15「ななこ！ななこ！」,post,"{""Sco"": 0}"
ななこ26「〜はくちょう座のデネブ」,post,"{""Cyg"": 1}"
ななこ26「〜わし座のアルタイル」,post,"{""Aql"": 1}"
ななこ26「〜こと座のベガだよね！」,post,"{""Lyr"": 1}"
父17「パパも…」,post,"{""Cyg"": 0, ""Aql"": 0, ""Lyr"": 0}"
ななこ30「カシオペアさん！！」,post,"{""Cas"": 1}"
父22「〜羽の生えた白いお馬さん、ペガスス座があるんだ」,post,"{""Peg"": 1}"
ななこ36「〜アンドロメダさんがいるんだね」,post,"{""And"": 1}"
母30「〜ママ、こういうお話大好きなの。」,post,"{""Cas"": 0, ""Peg"": 0, ""And"": 0}"
ななこ46「ほんとだぁ！砂時計みたいだね！」,post,"{""Ori"": 1}"
ななこ48「ありがとう。スワニー」,post,"{""Ori"": 0}"
ななこ50「…あっ、あった！！」,post,"{""CMa"": 1}"
スワニー8「〜北東に明るい星があるのが分かりますか？」 ,post,"{""CMa"": 0}"
スワニー9「〜こいぬ座のプロキオンです」,post,"{""CMi"": 1}"
父28「〜この３つを合わせて、冬の大三角と言うんだよ」,post,"{""CMi"": 0}"
父30「〜兄弟が星座になったものなんだ」,post,"{""Gem"": 1}"
ななこ54「へー！いいお話だね！！」,post,"{""Gem"": 0}"
スワニー15「〜ぎょしゃ座という星座です。」,post,"{""Aur"": 1}"
ななこ57「うん！あの人をぎょしゃさんっていうんだね！」 ,post,"{""Aur"": 0}"
父32「〜おうしには立派な角があるからV字型なんだね」,post,"{""Tau"": 1}"
父33「すごいね、ななこ。じゃあ最後にパパから1ついいこと教えてあげるね」,post,"{""Tau"": 0}"
父34「今から、パパが言う星を繋げてごらん…。」,セリフに合わせて星座絵点灯 オリオン⇒おおいぬ⇒こいぬ⇒ふたご⇒ぎょしゃ⇒おうし,"{""Ori"": 1}"
父34「今から、パパが言う星を繋げてごらん…。」,セリフに合わせて星座絵点灯 ⇒おおいぬ⇒こいぬ⇒ふたご⇒ぎょしゃ⇒おうし,"{""CMa"": 1}"
父34「今から、パパが言う星を繋げてごらん…。」,セリフに合わせて星座絵点灯 ⇒こいぬ⇒ふたご⇒ぎょしゃ⇒おうし,"{""CMi"": 1}"
父34「今から、パパが言う星を繋げてごらん…。」,セリフに合わせて星座絵点灯 ⇒ふたご⇒ぎょしゃ⇒おうし,"{""Gem"": 1}"
父34「今から、パパが言う星を繋げてごらん…。」,セリフに合わせて星座絵点灯 ⇒ぎょしゃ⇒おうし,"{""Aur"": 1}"
父34「今から、パパが言う星を繋げてごらん…。」,セリフに合わせて星座絵点灯 ⇒おうし,"{""Tau"": 1}"
スワニー19「〜本日はありがとうございました」,post,"{""Ori"": 0, ""CMa"": 0, ""CMi"": 0, ""Gem"": 0, ""Aur"": 0, ""Tau"": 0}"
